bonica.rid,bonica.cid,name,lname,ffname,gender,icpsr,id_fec
cand1416,NA,"smith, linda",smith,linda,F,29579,S8WA00079
cand141600,35276164635,"welder, brent",welder,brent,M,H8KS03122,H8KS03122
cand141601,2729886345,"thomas, reginald leonard reggie",thomas,reginald leonard reggie,M,H8KY06156,H8KY06156
cand141602,5e15,"mcgrath, amy",mcgrath,amy,F,H8KY06164,H8KY06164
cand141606,3153118144,"pullen, michael",pullen,michael,M,H8MD01185,H8MD01185
cand141607,3816415421,"manno, roger",manno,roger,M,H8MD06150,H8MD06150
cand141610,3168116189,"fulford, jonathan steven",fulford,jonathan steven,M,H8ME02151,H8ME02151
cand141612,NA,"olson, craig",olson,craig,M,H8ME02177,H8ME02177
cand141613,112472268,"schiller, nicholas adam",schiller,nicholas adam,M,H8MI02121,H8MI02121
cand141614,35276162924,"eichholz, rich",eichholz,rich,M,H8MI06148,H8MI06148
cand141615,26592031276,"longjohn, matt",longjohn,matt,M,H8MI06155,H8MI06155
cand141616,500004e10,"slotkin, elissa",slotkin,elissa,F,21965,H8MI08102
cand141617,3253149068,"saad, fayrouz",saad,fayrouz,U,H8MI11262,H8MI11262
cand141619,NA,"sullivan, joe",sullivan,joe,M,H8MN01295,H8MN01295
cand141620,100034097,"wright, richard thomas",wright,richard thomas,M,H8MN01303,H8MN01303
cand141621,NA,"stauber, pete",stauber,pete,M,21969,H8MN08043
cand141622,NA,"dunaway, kellin lynn",dunaway,kellin lynn,M,H8MO02190,H8MO02190
cand141623,33779887582,"vanostran, cort",vanostran,cort,M,H8MO02208,H8MO02208
cand141624,4195398155,"osmack, mark",osmack,mark,M,H8MO02216,H8MO02216
cand141625,3816413830,"haas, william c",haas,william c,M,H8MO02224,H8MO02158
cand141627,NA,"de la torre, john farmer",dela torre,john farmer,M,H8MO07199,H8MO07199
cand141628,35734822865,"anderson, jeramey dewayne",anderson,jeramey dewayne,M,H8MS04438,H8MS04438
cand141629,35574917705,"heenan, john",heenan,john,M,H8MT00101,H8MT00101
cand141630,103311296,"searcy, samuel lee sam",searcy,samuel lee sam,M,H8NC02086,H8NC02086
cand141631,29075815437,"dacey, scott charles",dacey,scott charles,M,H8NC03076,H8NC03076
cand141634,NA,"watkins, richard lee iii",watkins,richard lee,M,H8NC04108,H8NC04108
cand141636,4066306160,"brown, david wilson",brown,david wilson,M,H8NC10097,H8NC10097
cand141638,NA,"hanson, ben",hanson,ben,M,H8ND01029,H8ND01029
cand141639,34238360223,"penner, kirk",penner,kirk,M,H8NE03087,H8NE03087
cand141640,500004e10,"youngblood, tanzie",youngblood,tanzie,F,H8NJ02141,H8NJ02141
cand141641,NA,"lonegan, steven",lonegan,steven,M,H8NJ05110,H8NJ05110
cand141642,4068296903,"bartlett, john",bartlett,john,M,H8NJ11167,H8NJ11167
cand141643,500004e10,"harris, tamara",harris,tamara,F,H8NJ11175,H8NJ11175
cand141644,35306196635,"martinez, damon p",martinez,damon p,M,H8NM01380,H8NM01380
cand141646,4339690645,"davis, patrick",davis,patrick,M,H8NM01406,H8NM01406
cand141647,NA,"chavez, ann e",chavez,ann e,F,H8NM01414,H8NM01414
cand141649,NA,"martinez, tony",martinez,tony,M,H8NM02149,H8NM02149
cand141650,5e15,"herrell, stella yvette",herrell,stella yvette,F,22123,H8NM02156
cand141651,31426961587,"zubia, adolfo areola",zubia,adolfo areola,M,H8NM02164,H8NM02164
cand141652,31552296172,"volpato, johnny silvio jr",volpato,johnny silvio,M,H8NM02172,H8NM02172
cand141653,103328170,"farahi, hermon",farahi,hermon,M,H8NV03127,H8NV03127
cand141655,NA,"mckeon, david owen",mckeon,david owen,M,H8NV03150,H8NV03150
cand141656,35726502399,"weiss, michael",weiss,michael,M,H8NV03168,H8NV03168
cand141657,NA,"tache, lynda",tache,lynda,F,H8NV03176,H8NV03176
cand141658,NA,"seaman, victoria",seaman,victoria,F,H8NV03184,H8NV03184
cand141659,500004e10,"vilela, amy",vilela,amy,F,H8NV04018,H8NV04018
cand141660,NA,"anthony, stavros",anthony,stavros,M,H8NV04026,H8NV04026
cand141661,2950990484,"gershon, perry",gershon,perry,M,H8NY01155,H8NY01155
cand141662,3846110350,"pechefsky, david",pechefsky,david,M,H8NY01163,H8NY01163
cand141663,NA,"henry, brendon t",henry,brendon t,M,H8NY01171,H8NY01171
cand141664,3976016668,"debono, dan",debono,dan,M,H8NY03151,H8NY03151
cand141665,35340378350,"rose, max",rose,max,M,21958,H8NY11113
cand141666,500003e10,"martz, emily",martz,emily,F,H8NY21260,H8NY21260
cand141668,NA,"boyajian, don",boyajian,don,M,H8NY21286,H8NY21286
cand141669,4110321471,"della pia, max harold",della pia,max harold,M,H8NY23175,H8NY23175
cand141670,5e15,"messenger, anne",messenger,anne,F,H8NY24082,H8NY24082
cand141672,NA,"cole, erin",cole,erin,F,H8NY27127,H8NY27127
cand141673,35950503159,"peters, john",peters,john,M,H8OH12149,H8OH12149
cand141674,5764633804,"neal, rick",neal,rick,M,H8OH15134,H8OH15134
cand141675,NA,"patton, thomas f",patton,thomas f,M,H8OH16116,H8OH16116
cand141677,26571894972,"callahan, mark allen",callahan,mark allen,M,H8OR05198,H8OR05198
cand141678,NA,"rieger, chris",rieger,chris,M,H8PA03126,H8PA03126
cand141680,3822456889,"bloom, stephen",bloom,stephen,M,H8PA11061,H8PA11061
cand141681,26602037456,"stolz, john",stolz,john,M,H8PA12093,H8PA12093
cand141682,500004e10,"iovino, pamela m pam",iovino,pamela m pam,F,H8PA18165,H8PA18165
cand141683,4116329386,"crossey, michael j",crossey,michael j,M,H8PA18173,H8PA18173
cand141685,5e15,"arrington, katherine elizabeth",arrington,katherine elizabeth,F,H8SC01124,H8SC01124
cand141687,35280171513,"bjorkman, timothy w",bjorkman,timothy w,M,H8SD01097,H8SD01097
cand141688,35361626221,"olsen, martin",olsen,martin,M,H8TN01079,H8TN01079
cand141689,NA,"burchett, tim",burchett,tim,M,21905,H8TN02119
cand141690,NA,"matlock, james lloyd",matlock,james lloyd,M,H8TN02127,H8TN02127
cand141695,NA,"matheny, judd",matheny,judd,M,H8TN06086,H8TN06086
cand141696,35340378133,"rose, john w",rose,john w,M,21959,H8TN06094
cand141697,111722082,"khorasani, ali",khorasani,ali,M,H8TX02083,H8TX02083
cand141698,NA,"jones, jimmy darnell",jones,jimmy darnell,M,H8TX02091,H8TX02091
cand141699,NA,"medrick, yhap",medrick,yhap,U,H8TX03115,H8TX03115
cand1417,NA,"hastings, richard doc",hastings,richard doc,M,29580,H2WA04041
cand141700,33925176592,"taylor, nicholas v",taylor,nicholas v,M,21973,H8TX03123
cand141701,35251059050,"shocklee, levii",shocklee,levii,U,H8TX06217,H8TX06217
cand141704,35630325259,"degrow, richie",degrow,richie,M,H8TX10094,H8TX10094
cand141707,35306196661,"garcia, enrique",garcia,enrique,M,H8TX16091,H8TX16091
cand141708,35241032210,"levario, miguel antonio",levario,miguel antonio,M,H8TX19111,H8TX19111
cand141711,NA,"arredondo lynch, alma",arredondo lynch,alma,F,H8TX23113,H8TX23113
cand141712,500004e10,"jones, gina ortiz",jones,gina ortiz,F,H8TX23121,H8TX23121
cand141713,NA,"trevino, ricardo jose jr",trevino,ricardo jose,M,H8TX23139,H8TX23139
cand141714,35273153564,"panda, chetan",panda,chetan,M,H8TX25134,H8TX25134
cand141715,500004e10,"fagan, linsey",fagan,linsey,F,H8TX26124,H8TX26124
cand141719,104433422,"buchman, joseph geddes",buchman,joseph geddes,M,H8UT03352,H8UT03352
cand141720,35231987097,"hicks, tom",hicks,tom,M,H8VA01287,H8VA01287
cand141722,500003e10,"cockburn, leslie",cockburn,leslie,F,H8VA05155,H8VA05155
cand141723,5e15,"spanberger, abigail",spanberger,abigail,F,21966,H8VA07094
cand141724,NA,"adams, kimberly",adams,kimberly,F,H8VA10148,H8VA10148
cand141725,NA,"hill, shak",hill,shak,U,H8VA10155,H8VA10155
cand141726,35680974284,"agnew, eric",agnew,eric,M,H8WA05185,H8WA05185
cand141727,112566463,"rittereiser, jason",rittereiser,jason,M,H8WA08163,H8WA08163
cand141728,NA,"whitney, robert toby",whitney,robert toby,M,H8WA08171,H8WA08171
cand141729,NA,"schrier, kim",schrier,kim,F,21962,H8WA08189
cand141730,111771601,"scheinberg, aaron",scheinberg,aaron,M,H8WV02107,H8WV02107
cand141731,35667450088,"sergent, talley",sergent,talley,U,H8WV02115,H8WV02115
cand141732,35199464777,"davis, paul e",davis,paul e,M,H8WV03063,H0WV03177
cand141734,NA,"williams, steve",williams,steve,M,H8WV03089,H8WV03089
cand141735,5e15,"miller, carol devine",miller,carol devine,F,21946,H8WV03097
cand141747,NA,"washington, john iii",washington,john,M,P00006197,P00006197
cand141749,29075815161,"delaney, john k",delaney,john k,M,P00006213,P00006213
cand141761,NA,"lee, eva f",lee,eva f,F,S0NC00277,S0NC00277
cand141765,4074305557,"moss, jim",moss,jim,M,S8AZ00155,S8AZ00155
cand141766,36125002938,"tutora, nicholas",tutora,nicholas,M,S8AZ00163,S8AZ00163
cand141767,NA,"rapini, dominic",rapini,dominic,M,S8CT00113,S8CT00113
cand141768,32902965468,"corey, matthew mckinnon",corey,matthew mckinnon,M,S8CT00121,S8CT00121
cand141770,100035051,"braun, mike",braun,mike,M,41900,S8IN00171
cand141772,35732747353,"kingston, john",kingston,john,M,S8MA00318,S8MA00318
cand141773,5e15,"lindstrom, beth",lindstrom,beth,F,S8MA00326,S8MA00326
cand141774,NA,"vaughn, richard rikki",vaughn,richard rikki,M,S8MD00245,S8MD00245
cand141775,35204589835,"james, john",james,john,M,22332,S8MI00372
cand141776,3248166528,"newberger, james wallace",newberger,james wallace,M,S8MN00552,S8MN00552
cand141777,35731714951,"petersen, austin",petersen,austin,M,S8MO00145,S8MO00145
cand141779,NA,"hawley, joshua david",hawley,joshua david,M,41901,S8MO00160
cand141783,NA,"wilson, jenny",wilson,jenny,F,S8UT00143,S8UT00143
cand141784,NA,"vice, mitchell kent",vice,mitchell kent,M,S8UT00150,S8UT00150
cand141787,NA,"svitavsky, jon",svitavsky,jon,M,S8VT00133,S8VT00133
cand141789,NA,"nicholson, kevin",nicholson,kevin,M,S8WI00216,S8WI00216
cand141791,35574917868,"morrisey, patrick",morrisey,patrick,M,S8WV00143,S8WV00143
cand1418,29185859975,"nethercutt, george r",nethercutt,george r,M,29581,H4WA05028
cand141819,112512224,"bracamontes, michael",bracamontes,michael,M,CA_CP1396599,CA_CP1396599
cand141910,NA,"holtzclaw, william lovette",holtzclaw,william lovette,M,H8AL05216,H8AL05216
cand141911,3820454044,"wheeler, bruce",wheeler,bruce,M,H8AZ02169,H8AZ02169
cand141913,5e15,"zwahlen, sue",zwahlen,sue,F,H8CA10183,H8CA10183
cand141914,35269149925,"burum, jeffrey david",burum,jeffrey david,M,H8CA26122,H8CA26122
cand141915,NA,"cox, stephan",cox,stephan,M,H8CA39190,H8CA39190
cand141917,4622034817,"coffman, robert bob paul",coffman,robert bob paul,M,H8FL06106,H8FL06106
cand141918,NA,"henry, james francis",henry,james francis,M,H8FL11122,H8FL11122
cand141919,5e15,"rodriguez aguilera, bettina",rodriguez aguilera,bettina,F,H8FL27094,H8FL27094
cand141920,NA,"sosa suarez, gina i",sosa suarez,gina i,F,H8FL27102,H8FL27102
cand141922,35380755716,"parks, juan fitzgerald",parks,juan fitzgerald,M,H8GA04117,H8GA04117
cand141923,NA,"d alessandro, pete",dalessandro,pete,M,H8IA03173,H8IA03173
cand141924,35670627040,"huffman, ryan",huffman,ryan,M,H8IL06162,H8IL06162
cand141925,5e15,"dady, sara",dady,sara,F,H8IL16120,H8IL16120
cand141926,3163117285,"kleine, mark a",kleine,mark a,M,H8IL17052,H8IL17052
cand141927,2453755741,"braun, steven j",braun,steven j,M,H8IN04165,H8IN04165
cand141929,5e15,"tyson, caryn",tyson,caryn,F,H8KS02157,H8KS02157
cand141930,35305197101,"koh, daniel arrigg",koh,daniel arrigg,M,H8MA03072,H8MA03072
cand141932,500004e10,"hashimi, nadia",hashimi,nadia,F,H8MD06176,H8MD06176
cand141933,35196343003,"golden, jared",golden,jared,M,21923,H8ME02185
cand141937,NA,"west, dan",west,dan,M,H8MT01216,H8MT01216
cand141938,500004e10,"horney, margot",horney,margot,F,H8NC06087,H8NC06087
cand141940,35253112636,"jois, goutam umesh",jois,goutam umesh,U,H8NJ07215,H8NJ07215
cand141942,NA,"love, john dennis",love,john dennis,M,H8NV03192,H8NV03192
cand141944,NA,"sauberman a, joshua",sauberman a,joshua,M,H8NY03177,H8NY03177
cand141945,NA,"kim, ronald joseph",kim,ronald joseph,M,H8NY21294,H8NY21294
cand141946,5e15,"mitrano, tracy safegov",mitrano,tracy safegov,F,H8NY23183,H8NY23183
cand141947,35342422155,"gonzalez, anthony e",gonzalez,anthony e,M,21924,H8OH16124
cand141948,NA,"white, timothy sean",white,timothy sean,M,H8OR02146,H8OR02146
cand141950,3820446519,"simmons, justin jay",simmons,justin jay,M,H8PA15179,H8PA15179
cand141951,35581996113,"carrigan, sean j",carrigan,sean j,M,H8SC02106,H8SC02106
cand141953,35353564175,"fischer, bruce",fischer,bruce,M,H8SC07048,H8SC07048
cand141954,112495583,"mckinley, todd allen",mckinley,todd allen,M,H8TN01087,H8TN01087
cand141955,NA,"escobar, veronica",escobar,veronica,F,21917,H8TX16109
cand141957,35679961558,"kennedy, richard",kennedy,richard,M,H8TX17149,H8TX17149
cand141958,35260129473,"zmrhal, eric k",zmrhal,eric k,M,H8TX22230,H8TX22230
cand141959,33103638171,"hulings, jay",hulings,jay,M,H8TX23147,H8TX23147
cand141960,NA,"bennett, james mckay",bennett,james mckay,M,H8UT03360,H8UT03360
cand141963,500004e10,"jones, mary",jones,mary,F,H8VA02079,H8VA02079
cand141964,NA,"hubbard, garry b",hubbard,garry b,M,H8VA02087,H8VA02087
cand141965,31711856903,"giles, david victor",giles,david victor,M,H6AZ09010,H6AZ09010
cand141966,35208803241,"volosin, peter",volosin,peter,M,H8VA06070,H8VA06070
cand141967,5e15,"brown, lisa",brown,lisa,F,H8WA05193,H8WA05193
cand141968,35172205510,"palzewicz, tom",palzewicz,tom,M,H8WI05165,H8WI05165
cand141969,31638609361,"baxter, ralph",baxter,ralph,M,H8WV01067,H8WV01067
cand141970,500003e10,"nance, kathryn d",nance,kathryn d,F,H6CA09098,H6CA09098
cand141971,NA,"rogers, david bryan",rogers,david bryan,M,H6CA16135,H6CA16135
cand141973,3262146997,"parra, daniel",parra,daniel,M,H6CA21192,H6CA21192
cand141976,33558584183,"ostrander, william",ostrander,william,M,H6CA24287,H6CA24287
cand141977,NA,"achadjian, katchik",achadjian,katchik,U,H6CA24295,H6CA24295
cand141978,5e15,"carbajal, salud",carbajal,salud,F,21709,H6CA24303
cand141983,500003e10,"barragan, nanette",barragan,nanette,F,21703,H6CA44103
cand141986,NA,"ash, james",ash,james,M,H6CA53047,H6CA53047
cand141987,33497444774,"veltmeyer, james",veltmeyer,james,M,H6CA53054,H6CA53054
cand141991,5081317604,"reigle, hans",reigle,hans,M,H6DE01071,H6DE01071
cand141992,2504776121,"campbell, tom",campbell,tom,M,S8ND00104,S8ND00104
cand141993,5e15,"raybould, jane michele",raybould,jane michele,F,S8NE00182,S8NE00182
cand1420,28795463483,"neumann, mark w",neumann,mark w,M,29583,S8WI00158
cand142001,5e15,"taylor, priscilla ann",taylor,priscilla ann,F,H6FL18048,H6FL18048
cand142002,5e15,"negron, rebecca",negron,rebecca,F,H6FL18055,H6FL18055
cand142006,33228192433,"patel, ravi b",patel,ravi b,M,H6IA01155,H6IA01155
cand142009,35275161611,"briel, amy murri",briel,amy murri,F,H8IL16146,H8IL16146
cand142010,104451900,"mackenzie, stephen m",mackenzie,stephen m,M,H8IN06103,H8IN06103
cand142011,5462851453,"krishnamoorthi, s raja",krishnamoorthi,s raja,M,21730,H2IL08096
cand142013,5e15,"rodkin rotering, nancy",rodkin rotering,nancy,F,H6IL10135,H6IL10135
cand142014,500003e10,"khouri, tonia",khouri,tonia,F,H6IL11117,H6IL11117
cand142015,33749848208,"baricevic, charles john",baricevic,charles john,M,H6IL12099,H6IL12099
cand142016,2440740107,"gill, david",gill,david,M,H6IL13113,H6IL13113
cand142017,26602179774,"sarnoski, jason",sarnoski,jason,M,H8NJ05128,H8NJ05128
cand142019,2917979009,"marshall, roger w",marshall,roger w,M,21734,H6KS01179
cand142021,500004e10,"hoyos, renee",hoyos,renee,F,H8TN02176,H8TN02176
cand142024,3271165114,"plaster, mark leroy",plaster,mark leroy,M,H6MD03441,H6MD03441
cand142026,NA,"pena melnyk, joseline a",pena melnyk,joseline a,F,H6MD04217,H6MD04217
cand142027,5e15,"turner, ingrid",turner,ingrid,F,H6MD04225,H6MD04225
cand142028,NA,"beck, christopher t",beck,christopher t,M,H6MD05198,H6MD05198
cand142035,5e15,"driskell, gretchen",driskell,gretchen,F,H6MI07223,H6MI07223
cand142037,33431221425,"flynn, michael",flynn,michael,M,H6MI10185,H6MI10185
cand142038,4154371928,"pavlov, phillip",pavlov,phillip,M,H6MI10193,H6MI10193
cand142041,500003e10,"lawrence, mary",lawrence,mary,F,H6MN02123,H6MN02123
cand142042,500003e10,"craig, angela dawn",craig,angela dawn,F,21910,H6MN02131
cand142045,27916526363,"white, james lloyd",white,james lloyd,M,H6MO04216,H6MO04216
cand142048,32989079480,"burris, michael craig",burris,michael craig,M,H6MO05213,H2MO05352
cand142050,NA,"kelly, john trent",kelly,john trent,M,21561,H6MS01131
cand142051,NA,"tagert, mike",tagert,mike,M,H6MS01149,H6MS01149
cand142052,33437261994,"adams, boyce",adams,boyce,M,H6MS01156,H6MS01156
cand142053,5e15,"collins, nancy",collins,nancy,F,H6MS01164,H6MS01164
cand142054,3302188007,"pirkle, gregory d",pirkle,gregory d,M,H6MS01172,H6MS01172
cand142055,33365953145,"mills, michael p jr",mills,michael p,M,H6MS01180,H6MS01180
cand142056,NA,"jones, roger starner",jones,roger starner,M,H6MS01198,H6MS01198
cand142057,NA,"holliday, ed",holliday,ed,M,H6MS01206,H6MS01206
cand142058,33420196013,"adcock, sam",adcock,sam,M,H6MS01214,H6MS01214
cand142059,2952991652,"whitwell, robert quentin jr",whitwell,robert quentin,M,H6MS01222,H6MS01222
cand142060,33783895037,"sparks, daniel",sparks,daniel,M,H6MS01230,H6MS01230
cand142062,NA,"zinn, walter h",zinn,walter h,M,H6MS01255,H6MS01255
cand142063,33726840856,"duncan, james",duncan,james,M,H6NC02114,H6NC02114
cand142065,500003e10,"curran, patricia margaret",curran,patricia margaret,F,H6NC05117,H6NC05117
cand142068,NA,"millard, carl andrew",millard,carl andrew,M,H6NC10158,H6NC10158
cand142069,103728881,"bacon, donald john",bacon,donald john,M,21701,H6NE02125
cand142070,33257241296,"oconnor, shawn patrick",oconnor,shawn patrick,M,H6NH01271,H6NH01271
cand142073,3739298984,"gottheimer, josh",gottheimer,josh,M,21723,H6NJ05171
cand142076,37627387218,"mcfall, jerald steve",mcfall,jerald steve,M,H6NM03059,H6NM03059
cand142080,NA,"donovan, dan",donovan,dan,M,21560,H6NY11174
cand142081,4075312908,"lane, james",lane,james,M,H6NY11182,H6NY11182
cand142082,3822464686,"gentile, vincent",gentile,vincent,M,H6NY11190,H6NY11190
cand142085,29807286107,"gallagher, michael",gallagher,michael,M,H6NY13097,H6NY13097
cand142091,33434242648,"robertson, terry",robertson,terry,U,H6OH07119,H6OH07119
cand142097,NA,"li, lindy",li,lindy,U,H6PA07113,H6PA07113
cand142099,28258962593,"larchuk, steven b",larchuk,steven b,M,H6PA12089,H6PA12089
cand1421,5e15,"cubin, barbara l",cubin,barbara l,F,29584,H4WY00055
cand142100,NA,"laboy alvarado, zoe m",laboy alvarado,zoe m,F,H6PR00074,H6PR00074
cand142104,33520492528,"starrett, grant",starrett,grant,M,H6TN04184,H6TN04184
cand142108,106634511,"dean, andre",dean,andre,M,H6TX08167,H6TX08167
cand142111,105806880,"gonzales, regino james",gonzales,regino james,M,H6TX18133,H6TX18133
cand142114,33341895637,"cage, ericke",cage,ericke,U,H6VA05100,H6VA05100
cand1422,29185945323,"jackson, jesse l jr",jackson,jesse l,M,29585,H6IL02124
cand1423,5e15,"millender mcdonald, juanita",millender mcdonald,juanita,F,29586,H6CA37222
cand142377,29205877253,"treadwell, louis mead mead",treadwell,louis mead mead,M,AK193251,AK193251
cand142378,5e15,"isner, tabitha kay",isner,tabitha kay,F,H8AL02197,H8AL02197
cand142379,108723863,"desai, chintan",desai,chintan,M,H8AR01029,H8AR01029
cand142381,35251060395,"shamel, hayden catherine",shamel,hayden catherine,M,H8AR04130,H8AR04130
cand142382,500003e10,"shedd, tiffany",shedd,tiffany,F,H8AZ01237,H8AZ01237
cand142383,500004e10,"sherry, barbara louise",sherry,barbara louise,F,H8AZ02177,H8AZ02177
cand142384,35354578475,"torres, jose lazaro",torres,jose lazaro,M,H8AZ05162,H8AZ05162
cand142385,500004e10,"malik, anita",malik,anita,F,H8AZ06103,H8AZ06103
cand142388,27545442370,"leibsohn, seth",leibsohn,seth,M,H8AZ09032,H8AZ09032
cand142389,108118438,"stanton, greg",stanton,greg,M,21968,H8AZ09040
cand142391,112315410,"duncan, dennis dean",duncan,dennis dean,M,H8CA01224,H8CA01224
cand142393,500003e10,"barash, yona",barash,yona,F,H8CA07072,H8CA07072
cand142394,5e15,"doyle, marge",doyle,marge,F,H8CA08112,H8CA08112
cand142396,NA,"livengood, marla",livengood,marla,F,H8CA09144,H8CA09144
cand142398,111737488,"khojasteh, ryan a",khojasteh,ryan a,M,H8CA12254,H8CA12254
cand142399,NA,"tran, khanh",tran,khanh,U,H8CA17097,H8CA17097
cand1424,2696866109,"cummings, elijah eugene",cummings,elijah eugene,M,29587,H6MD07160
cand142401,500004e10,"greenaway, diedra michelle",greenaway,diedra michelle,F,H8CA25108,H8CA25108
cand142402,3788164419,"mcvarish, scott",mcvarish,scott,M,H8CA25116,H8CA25116
cand142403,NA,"masterman smith, mike",masterman smith,mike,M,H8CA25124,H8CA25124
cand142404,35741947386,"nelson, john robert",nelson,john robert,M,H8CA26130,H8CA26130
cand142405,NA,"witt, bryan",witt,bryan,M,H8CA27112,H8CA27112
cand142407,35743967749,"valiente, christian leonel",valiente,christian leonel,M,H8CA35115,H8CA35115
cand142408,NA,"ball, dan",ball,dan,M,H8CA36162,H8CA36162
cand142409,NA,"pelzer, kimberlin brown",pelzer,kimberlin brown,F,H8CA36170,H8CA36170
cand142413,111828487,"hassett, douglas donald doug hasse",hassett,douglas donald doug hasse,M,H8CA36204,H8CA36204
cand142415,35693116573,"quintero, norman alberto dr sr",quintero,norman alberto dr,M,H8CA42244,H8CA42244
cand142417,2837948981,"demartini, frank t",demartini,frank t,M,H8CA43143,H8CA43143
cand142419,35845852176,"kensinger, kevin thomas",kensinger,kevin thomas,M,H8CA48118,H8CA48118
cand142420,5e15,"jacobs, sara",jacobs,sara,F,22126,H8CA49074
cand142421,3265147251,"sayed, shamus",sayed,shamus,M,H8CA50148,H8CA50148
cand142422,35680973553,"allman, michael",allman,michael,M,H8CA52136,H8CA52136
cand142423,NA,"kim, bryan robert",kim,bryan robert,M,H8CA53068,H8CA53068
cand142424,102281120,"williams, mark joaquin",williams,mark joaquin,M,H8CO02202,H8CO02202
cand142426,111253207,"larsen, kristopher william",larsen,kristopher william,M,H8CO02228,H8CO02228
cand142429,35828116581,"yu, peter",yu,peter,M,H8CO02251,H8CO02251
cand142430,NA,"kennedy, christopher 1959",kennedy,christopher 1959,M,H8CO03200,H8CO03200
cand142431,2985005358,"gunning, james d",gunning,james d,M,H8CO04117,H8CO04117
cand142432,35077024046,"rhea, bill",rhea,bill,M,H8CO05155,H8CO05155
cand142433,NA,"stanger, erik",stanger,erik,M,H8CO06252,H8CO06252
cand142436,4036281676,"anderson, bryan neil",anderson,bryan neil,M,H8CT03067,H8CT03067
cand142437,NA,"ford, kim r",ford,kim r,F,H8DC01034,H8DC01034
cand142438,35729632963,"demarco, adam 1985",demarco,adam 1985,M,H8DC03014,H8DC03014
cand142439,500003e10,"hinson, yvonne hayes",hinson,yvonne hayes,F,H8FL03038,H8FL03038
cand142440,NA,"batie, rontel",batie,rontel,U,H8FL05132,H8FL05132
cand142443,35671679391,"ward, john",ward,john,M,H8FL06122,H8FL06122
cand142444,NA,"thomas, sunil mathew",thomas,sunil mathew,M,H8FL12062,H8FL12062
cand142445,35709170543,"perenich, stephen m",perenich,stephen m,M,H8FL12070,H8FL12070
cand142447,4633042446,"shapiro, m david",shapiro,m david,U,H8FL16055,H8FL16055
cand142448,35680976850,"akins, william alan",akins,william alan,M,H8FL17038,H8FL17038
cand142449,500004e10,"baer, lauren",baer,lauren,F,H8FL18028,H8FL18028
cand142450,33910146737,"jetta, kurt",jetta,kurt,M,H8FL21055,H8FL21055
cand142451,3085025824,"ferrer, gabriel",ferrer,gabriel,M,H8FL27110,H8FL27110
cand142452,NA,"russell, ken",russell,ken,M,H8FL27128,H8FL27128
cand142454,5e15,"joli, mayra",joli,mayra,F,H8FL27144,H8FL27144
cand142456,500004e10,"seidman, barbara a",seidman,barbara a,F,H8GA01071,H8GA01071
cand142457,35336255929,"mcpherson, bruce william",mcpherson,bruce william,M,H8GA02061,H8GA02061
cand142458,35649368762,"kaple, bobby",kaple,bobby,M,H8GA06369,H8GA06369
cand142459,35680977172,"abel, kevin",abel,kevin,M,H8GA06377,H8GA06377
cand142460,500004e10,"bourdeaux, carolyn",bourdeaux,carolyn,F,22104,H8GA07201
cand142461,35670637327,"hunt, joseph william",hunt,joseph william,M,H8GA10163,H8GA10163
cand142462,35726498645,"wynn, quentin adam",wynn,quentin adam,M,H8GA11047,H8GA11047
cand142463,NA,"ing, mark kaniela",ing,mark kaniela,M,H8HI01192,H8HI01192
cand142464,NA,"campagna, sheryl francys",campagna,sheryl francys,F,H8HI02133,H8HI02133
cand142465,30187795741,"mauro, eddie j",mauro,eddie j,M,H8IA03181,H8IA03181
cand142466,4924281240,"paschen, john joseph",paschen,john joseph,M,H8IA04122,H8IA04122
cand142469,111762359,"vandermaas, james",vandermaas,james,M,H8ID01165,H8ID01165
cand142470,500004e10,"perry, christy",perry,christy,F,H8ID01173,H8ID01173
cand142471,35196355842,"gonzalez, richard",gonzalez,richard,M,H8IL04126,H8IL04126
cand142472,NA,"haaf, grace",haaf,grace,F,H8IL06170,H8IL06170
cand142475,35634334619,"sangari, sargis",sangari,sargis,U,H8IL09190,H8IL09190
cand142477,35528478154,"deters, brian",deters,brian,M,H8IL18092,H8IL18092
cand142478,NA,"hall, mel",hall,mel,M,H8IN02169,H8IN02169
cand142479,500004e10,"hackett, mary patricia",hackett,mary patricia,F,H8IN02177,H8IN02177
cand142480,4626038910,"joshi, yatish j",joshi,yatish j,U,H8IN02185,H8IN02185
cand142482,500004e10,"shipley, sheryl",shipley,sheryl,F,H8IN04173,H8IN04173
cand142483,35354581446,"thomas, jared",thomas,jared,M,H8IN04181,H8IN04181
cand142484,102257511,"baird, james r",baird,james r,M,21903,H8IN04199
cand142488,4021284216,"pence, gregory j",pence,gregory j,M,21952,H8IN06129
cand142489,NA,"hood, brandon",hood,brandon,M,H8IN09123,H8IN09123
cand142490,NA,"soave, antonio",soave,antonio,M,H8KS02165,H8KS02165
cand142491,109543981,"davis, paul t",davis,paul t,M,H8KS02173,H8KS02173
cand142493,30341278301,"jones, kevin",jones,kevin,M,H8KS02181,H8KS02181
cand142495,2492764252,"watkins, steve",watkins,steve,M,21982,H8KS02199
cand142497,35337295380,"conner, phillip",conner,phillip,M,H8LA03045,H8LA03045
cand1425,29195889135,"blumenauer, earl",blumenauer,earl,M,29588,H6OR03064
cand142500,109613690,"mazen, nadeem",mazen,nadeem,M,H8MA03098,H8MA03098
